Topic,Keyword,Description,Link,Status
The main category or object the rule applies to. (Used for filtering),The specific element or name the user will ask for. (Used for matching),"The actual, detailed guideline or answer.","The direct URL to the asset, document, or resource.",Optional: A simple flag to indicate the presence of a link.
Colors,"Colors, colours, Snyk purple","Our Snyk Purple is HEX: #441C99, CMYK: 56,82,0,40 or PMS: Violet C for full color palette and guidelines, follow the link",https://view.snyk.io/snyk/brand-guidelines/p/2,Link available
Non-Brand question,"Web, website, web team, snyk.io, labs.snyk.io, web process, web request, copy doc","For web-related questions, reach out to #ask-snyk-website Slack channel",https://snyk.enterprise.slack.com/archives/C5SH9NHNU,Link available
Non-Brand question,"Web, website, web team, snyk.io, labs.snyk.io, web process, web request, copy doc","For specific web requests for snyk.io or labs.snyk.io only, use their Jira intake form, here are their web request types:\nCreate a new page on snyk.io\nOverhaul an existing page on snyk.io\nUpdate an existing page on snyk.io (minor changes)\nNew labs.snyk.io resource\nAdd an event to snyk.io/events\nSet up a redirect\nTracking request\nAnalytics request\nGoogle Analytics access\nAdd a 3rd party script\nReport a bug\nCreate a microsite",https://smart-forms.saasjet.com/external%3Ftoken%3DeyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjbGllbnRLZXkiOiJqaXJhOjM4NDExZGFjLWRiMGMtNGY3NC05ZmQyLWQ5MjRkY2VkZDNhNCIsImlhdCI6MTcxOTUxNDE4NjM1Nn0.M4mHh7d1t6V-4E6R-2oXkE-r_w6B2t7eF9K9T5u3bW4,Link available
Logo,"Logo, logos, snyk logo, shield, brandmark","The Snyk logo is made up of two parts: the brand name (Snyk) and the brandmark (the shield). The brandmark is only used in specific, high-visibility scenarios, and never without the Snyk name close by. For full logo guidelines and downloads, follow the link.",https://view.snyk.io/snyk/brand-guidelines/p/3,Link available
Logo,"Logo, logos, snyk logo, shield, brandmark, dark background","When using our logo on a dark background, you must use the reversed (white) version.",https://view.snyk.io/snyk/brand-guidelines/p/3,Link available
Logo,"Logo, logos, snyk logo, shield, brandmark, light background","When using our logo on a light background, you must use the primary (purple) version.",https://view.snyk.io/snyk/brand-guidelines/p/3,Link available
Non-Brand question,design file,"To make a new design request (internal and external), use the following intake form.",https://smart-forms.saasjet.com/external%3Ftoken%3DeyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjbGllbnRLZXkiOiJqaXJhOjA2NzM5ODcxLTI1ZTItNDQ5OS05MWIwLWMzZDFkMTY5ZTNmZiIsImlhdCI6MTcxOTUxNDE4NjM1Nn0.wN6f5D0p_XmQ-YgL-m8mX5g1W8n1bV9Z8L5y0-2fFq8,Link available
Images,"Image, images, photography, illustrations, stock images","Use our brand photography and illustrations to bring a human element to your designs. You can find our library of assets by following the link.",https://drive.google.com/drive/folders/1w7d1Z2Jk9L7Q6Lw0S4b1k5Y1P8Z1x3S9%3Fusp%3Ddrive_link,Link available
Images,"Image, images, photography, illustrations, stock images, people","Use our brand photography and illustrations to bring a human element to your designs. You can find our library of assets by following the link.",https://drive.google.com/drive/folders/1w7d1Z2Jk9L7Q6Lw0S4b1k5Y1P8Z1x3S9%3Fusp%3Ddrive_link,Link available
